name,time,flow_in,flow_out,pressure_in,pressure_out
branch 0_seg0,0.0000000000000000e+00,1.2500000005820767e-04,1.2499999985251552e-04,5.0310327744159091e+04,4.8359032939964825e+04
branch 0_seg0,2.5000000000000000e-01,1.2499999997089617e-04,1.2500000009985044e-04,5.0310327695801687e+04,4.8359032893195530e+04
branch 0_seg0,5.0000000000000000e-01,1.2500000001455192e-04,1.2499999993703477e-04,5.0310327705458658e+04,4.8359032902063809e+04
branch 0_seg0,7.5000000000000000e-01,1.2499999999272403e-04,1.2500000003778098e-04,5.0310327709985075e+04,4.8359032906978915e+04
branch 0_seg0,1.0000000000000000e+00,1.2500000000363799e-04,1.2499999997820412e-04,5.0310327701853472e+04,4.8359032898657570e+04
branch 1_seg0,0.0000000000000000e+00,6.2500000032840878e-05,6.2500001003302680e-05,4.8359032939964825e+04,-3.0493186101166765e-20
branch 1_seg0,2.5000000000000000e-01,6.2500000000445920e-05,6.2499999461127249e-05,4.8359032893195530e+04,2.0328790734091261e-20
branch 1_seg0,5.0000000000000000e-01,6.2499999989345154e-05,6.2500000282935921e-05,4.8359032902063809e+04,-1.0164395367063557e-20
branch 1_seg0,7.5000000000000000e-01,6.2500000011675314e-05,6.2499999855019267e-05,4.8359032906978915e+04,5.0821976835138522e-21
branch 1_seg0,1.0000000000000000e+00,6.2499999990365659e-05,6.2500000072272796e-05,4.8359032898657570e+04,-2.5410988417748523e-21
branch 2_seg0,0.0000000000000000e+00,6.2499999819674642e-05,6.2499994123594899e-05,4.8359032939964825e+04,0.0000000000000000e+00
branch 2_seg0,2.5000000000000000e-01,6.2500000099404522e-05,6.2500004151640445e-05,4.8359032893195530e+04,0.0000000000000000e+00
branch 2_seg0,5.0000000000000000e-01,6.2499999947689618e-05,6.2499997272716677e-05,4.8359032902063809e+04,0.0000000000000000e+00
branch 2_seg0,7.5000000000000000e-01,6.2500000026105679e-05,6.2500001707396622e-05,4.8359032906978915e+04,0.0000000000000000e+00
branch 2_seg0,1.0000000000000000e+00,6.2499999987838451e-05,6.2499998968852869e-05,4.8359032898657570e+04,0.0000000000000000e+00
