name,time,flow_in,flow_out,pressure_in,pressure_out
branch 0_seg0,0.0000000000000000e+00,1.2500000005820767e-04,1.2500000002914195e-04,5.0310327716754859e+04,3.8331981330850773e+04
branch 0_seg0,2.5000000000000000e-01,1.2499999997089617e-04,1.2499999998192521e-04,5.0310327699944741e+04,3.8331981322200620e+04
branch 0_seg0,5.0000000000000000e-01,1.2500000001455192e-04,1.2500000001070861e-04,5.0310327709470461e+04,3.8331981327689478e+04
branch 0_seg0,7.5000000000000000e-01,1.2499999999272403e-04,1.2499999999385697e-04,5.0310327704187614e+04,3.8331981324404973e+04
branch 0_seg0,1.0000000000000000e+00,1.2500000000363799e-04,1.2500000000343947e-04,5.0310327707066288e+04,3.8331981326293688e+04
branch 1_seg0,0.0000000000000000e+00,6.2500000014082093e-05,6.2499999972969825e-05,3.8331981330850773e+04,-3.1763735522036263e-22
branch 1_seg0,2.5000000000000000e-01,6.2499999991236314e-05,6.2500000012014398e-05,3.8331981322200620e+04,-3.1763735522036263e-22
branch 1_seg0,5.0000000000000000e-01,6.2500000005202640e-05,6.2499999994769525e-05,3.8331981327689478e+04,3.1763735522036272e-22
branch 1_seg0,7.5000000000000000e-01,6.2499999997011777e-05,6.2500000002212871e-05,3.8331981324404973e+04,-3.1763735522036263e-22
branch 1_seg0,1.0000000000000000e+00,6.2500000001674362e-05,6.2499999999102336e-05,3.8331981326293688e+04,3.1763735522036272e-22
branch 2_seg0,0.0000000000000000e+00,6.2500000015059854e-05,6.2499999970186420e-05,3.8331981330850773e+04,-5.0821976836999061e-21
branch 2_seg0,2.5000000000000000e-01,6.2499999990688887e-05,6.2500000013118129e-05,3.8331981322200620e+04,2.5410988415887985e-21
branch 2_seg0,5.0000000000000000e-01,6.2500000005505987e-05,6.2499999994382506e-05,3.8331981327689478e+04,-1.2705494210555538e-21
branch 2_seg0,7.5000000000000000e-01,6.2499999996845176e-05,6.2500000002312483e-05,3.8331981324404973e+04,6.3527471026662232e-22
branch 2_seg0,1.0000000000000000e+00,6.2500000001765123e-05,6.2499999999105711e-05,3.8331981326293688e+04,-3.1771490357689260e-22
