name,time,flow_in,flow_out,pressure_in,pressure_out
branch0_seg0,0.0000000000000000e+00,1.2500000005820767e-04,1.2499999995750275e-04,1.4755657970392433e+05,1.4118486795810505e+05
branch0_seg0,2.5000000000000000e-01,1.2499999997089617e-04,1.2500000002219316e-04,1.4755657972097691e+05,1.4118486798121899e+05
branch0_seg0,5.0000000000000000e-01,1.2500000001455192e-04,1.2499999998846423e-04,1.4755657971139750e+05,1.4118486796859436e+05
branch0_seg0,7.5000000000000000e-01,1.2499999999272403e-04,1.2500000000596978e-04,1.4755657971666701e+05,1.4118486797539319e+05
branch0_seg0,1.0000000000000000e+00,1.2500000000363799e-04,1.2499999999692350e-04,1.4755657971382583e+05,1.4118486797178429e+05
branch1_seg0,0.0000000000000000e+00,5.9517724232474901e-05,5.9517724240671666e-05,1.4118486795810505e+05,9.6468263145893186e+04
branch1_seg0,2.5000000000000000e-01,5.9517724264418079e-05,5.9517724259850186e-05,1.4118486798121899e+05,9.6468263145386052e+04
branch1_seg0,5.0000000000000000e-01,5.9517724247733264e-05,5.9517724250256975e-05,1.4118486796859436e+05,9.6468263145181147e+04
branch1_seg0,7.5000000000000000e-01,5.9517724256412052e-05,5.9517724255025412e-05,1.4118486797539319e+05,9.6468263145479214e+04
branch1_seg0,1.0000000000000000e+00,5.9517724251915120e-05,5.9517724252674123e-05,1.4118486797178429e+05,9.6468263145258868e+04
branch2_seg0,0.0000000000000000e+00,6.5482275725027846e-05,6.5482275732274829e-05,1.4118486795810505e+05,9.1987001548442597e+04
branch2_seg0,2.5000000000000000e-01,6.5482275757775061e-05,6.5482275753603593e-05,1.4118486798121899e+05,9.1987001547270411e+04
branch2_seg0,5.0000000000000000e-01,6.5482275740730956e-05,6.5482275743092294e-05,1.4118486796859436e+05,9.1987001547372653e+04
branch2_seg0,7.5000000000000000e-01,6.5482275749557730e-05,6.5482275748236454e-05,1.4118486797539319e+05,9.1987001547537642e+04
branch2_seg0,1.0000000000000000e+00,6.5482275745008391e-05,6.5482275745741515e-05,1.4118486797178429e+05,9.1987001547369218e+04
branch3_seg0,0.0000000000000000e+00,5.9517724240671666e-05,5.9517724241153146e-05,9.6468263145893186e+04,9.5654343739396980e+04
branch3_seg0,2.5000000000000000e-01,5.9517724259850186e-05,5.9517724259590113e-05,9.6468263145386052e+04,9.5654343738632597e+04
branch3_seg0,5.0000000000000000e-01,5.9517724250256975e-05,5.9517724250396756e-05,9.6468263145181147e+04,9.5654343738557713e+04
branch3_seg0,7.5000000000000000e-01,5.9517724255025412e-05,5.9517724254950568e-05,9.6468263145479214e+04,9.5654343738790456e+04
branch3_seg0,1.0000000000000000e+00,5.9517724252674123e-05,5.9517724252714069e-05,9.6468263145258868e+04,9.5654343738602693e+04
branch4_seg0,0.0000000000000000e+00,5.9517724241153146e-05,5.9517724241648457e-05,9.5654343739396980e+04,9.4836604451417326e+04
branch4_seg0,2.5000000000000000e-01,5.9517724259590113e-05,5.9517724259324158e-05,9.5654343738632597e+04,9.4836604450402869e+04
branch4_seg0,5.0000000000000000e-01,5.9517724250396756e-05,5.9517724250538936e-05,9.5654343738557713e+04,9.4836604450454019e+04
branch4_seg0,7.5000000000000000e-01,5.9517724254950568e-05,5.9517724254874816e-05,9.5654343738790456e+04,9.4836604450623636e+04
branch4_seg0,1.0000000000000000e+00,5.9517724252714069e-05,5.9517724252754313e-05,9.5654343738602693e+04,9.4836604450467246e+04
branch5_seg0,0.0000000000000000e+00,5.9517724241648457e-05,5.9517724242480210e-05,9.4836604451417326e+04,9.3496398616650622e+04
branch5_seg0,2.5000000000000000e-01,5.9517724259324158e-05,5.9517724258881573e-05,9.4836604450402869e+04,9.3496398615239217e+04
branch5_seg0,5.0000000000000000e-01,5.9517724250538936e-05,5.9517724250773604e-05,9.4836604450454019e+04,9.3496398615489888e+04
branch5_seg0,7.5000000000000000e-01,5.9517724254874816e-05,5.9517724254750722e-05,9.4836604450623636e+04,9.3496398615559854e+04
branch5_seg0,1.0000000000000000e+00,5.9517724252754313e-05,5.9517724252819799e-05,9.4836604450467246e+04,9.3496398615452839e+04
branch6_seg0,0.0000000000000000e+00,5.9517724242480210e-05,5.9517724243619706e-05,9.3496398616650622e+04,9.1701386732392959e+04
branch6_seg0,2.5000000000000000e-01,5.9517724258881573e-05,5.9517724258281881e-05,9.3496398615239217e+04,9.1701386730481929e+04
branch6_seg0,5.0000000000000000e-01,5.9517724250773604e-05,5.9517724251088348e-05,9.3496398615489888e+04,9.1701386730982529e+04
branch6_seg0,7.5000000000000000e-01,5.9517724254750722e-05,5.9517724254585869e-05,9.3496398615559854e+04,9.1701386730928352e+04
branch6_seg0,1.0000000000000000e+00,5.9517724252819799e-05,5.9517724252906013e-05,9.3496398615452839e+04,9.1701386730882456e+04
branch7_seg0,0.0000000000000000e+00,5.9517724243619706e-05,5.9517724244981627e-05,9.1701386732392959e+04,8.9581506415750599e+04
branch7_seg0,2.5000000000000000e-01,5.9517724258281881e-05,5.9517724257573571e-05,9.1701386730481929e+04,8.9581506413304232e+04
branch7_seg0,5.0000000000000000e-01,5.9517724251088348e-05,5.9517724251455933e-05,9.1701386730982529e+04,8.9581506414070929e+04
branch7_seg0,7.5000000000000000e-01,5.9517724254585869e-05,5.9517724254395382e-05,9.1701386730928352e+04,8.9581506413885523e+04
branch7_seg0,1.0000000000000000e+00,5.9517724252906013e-05,5.9517724253004621e-05,9.1701386730882456e+04,8.9581506413903669e+04
branch8_seg0,0.0000000000000000e+00,5.9517724244981627e-05,5.9517724246472154e-05,8.9581506415750599e+04,8.7253391786522974e+04
branch8_seg0,2.5000000000000000e-01,5.9517724257573571e-05,5.9517724256807711e-05,8.9581506413304232e+04,8.7253391783563013e+04
branch8_seg0,5.0000000000000000e-01,5.9517724251455933e-05,5.9517724251848753e-05,8.9581506414070929e+04,8.7253391784582971e+04
branch8_seg0,7.5000000000000000e-01,5.9517724254395382e-05,5.9517724254194127e-05,8.9581506413885523e+04,8.7253391784273859e+04
branch8_seg0,1.0000000000000000e+00,5.9517724253004621e-05,5.9517724253107655e-05,8.9581506413903669e+04,8.7253391784351654e+04
branch9_seg0,0.0000000000000000e+00,5.9517724246472154e-05,5.9517724248006897e-05,8.7253391786522974e+04,8.4808521760763004e+04
branch9_seg0,2.5000000000000000e-01,5.9517724256807711e-05,5.9517724256028637e-05,8.7253391783563013e+04,8.4808521757350987e+04
branch9_seg0,5.0000000000000000e-01,5.9517724251848753e-05,5.9517724252243572e-05,8.7253391784582971e+04,8.4808521758591713e+04
branch9_seg0,7.5000000000000000e-01,5.9517724254194127e-05,5.9517724253994234e-05,8.7253391784273859e+04,8.4808521758176037e+04
branch9_seg0,1.0000000000000000e+00,5.9517724253107655e-05,5.9517724253208797e-05,8.7253391784351654e+04,8.4808521758304429e+04
branch10_seg0,0.0000000000000000e+00,5.9517724248006897e-05,5.9517724249520883e-05,8.4808521760763004e+04,8.2311745372139645e+04
branch10_seg0,2.5000000000000000e-01,5.9517724256028637e-05,5.9517724255269344e-05,8.4808521757350987e+04,8.2311745368359276e+04
branch10_seg0,5.0000000000000000e-01,5.9517724252243572e-05,5.9517724252623680e-05,8.4808521758591713e+04,8.2311745369777767e+04
branch10_seg0,7.5000000000000000e-01,5.9517724253994234e-05,5.9517724253804166e-05,8.4808521758176037e+04,8.2311745369277618e+04
branch10_seg0,1.0000000000000000e+00,5.9517724253208797e-05,5.9517724253303773e-05,8.4808521758304429e+04,8.2311745369445242e+04
branch11_seg0,0.0000000000000000e+00,5.9517724249520883e-05,5.9517724250970936e-05,8.2311745372139645e+04,7.9803956358956028e+04
branch11_seg0,2.5000000000000000e-01,5.9517724255269344e-05,5.9517724254550863e-05,8.2311745368359276e+04,7.9803956354899099e+04
branch11_seg0,5.0000000000000000e-01,5.9517724252623680e-05,5.9517724252978885e-05,8.2311745369777767e+04,7.9803956356448893e+04
branch11_seg0,7.5000000000000000e-01,5.9517724253804166e-05,5.9517724253628844e-05,8.2311745369277618e+04,7.9803956355887756e+04
branch11_seg0,1.0000000000000000e+00,5.9517724253303773e-05,5.9517724253390211e-05,8.2311745369445242e+04,7.9803956356082752e+04
branch12_seg0,0.0000000000000000e+00,6.5482275732274829e-05,6.5482275734717090e-05,9.1987001548442597e+04,8.6713525090242576e+04
branch12_seg0,2.5000000000000000e-01,6.5482275753603593e-05,6.5482275752309842e-05,9.1987001547270411e+04,8.6713525087339571e+04
branch12_seg0,5.0000000000000000e-01,6.5482275743092294e-05,6.5482275743774921e-05,9.1987001547372653e+04,8.6713525088303650e+04
branch12_seg0,7.5000000000000000e-01,6.5482275748236454e-05,6.5482275747877353e-05,9.1987001547537642e+04,8.6713525088042210e+04
branch12_seg0,1.0000000000000000e+00,6.5482275745741515e-05,6.5482275745929976e-05,9.1987001547369218e+04,8.6713525088083086e+04
branch13_seg0,0.0000000000000000e+00,6.5482275734717090e-05,6.5482275736611855e-05,8.6713525090242576e+04,8.2789227625208412e+04
branch13_seg0,2.5000000000000000e-01,6.5482275752309842e-05,6.5482275751328151e-05,8.6713525087339571e+04,8.2789227621222439e+04
branch13_seg0,5.0000000000000000e-01,6.5482275743774921e-05,6.5482275744282152e-05,8.6713525088303650e+04,8.2789227622718725e+04
branch13_seg0,7.5000000000000000e-01,6.5482275747877353e-05,6.5482275747615789e-05,8.6713525088042210e+04,8.2789227622197810e+04
branch13_seg0,1.0000000000000000e+00,6.5482275745929976e-05,6.5482275746064675e-05,8.6713525088083086e+04,8.2789227622363876e+04
branch14_seg0,0.0000000000000000e+00,6.5482275736611855e-05,6.5482275737941886e-05,8.2789227625208412e+04,8.0036014525656734e+04
branch14_seg0,2.5000000000000000e-01,6.5482275751328151e-05,6.5482275750648858e-05,8.2789227621222439e+04,8.0036014521024757e+04
branch14_seg0,5.0000000000000000e-01,6.5482275744282152e-05,6.5482275744628256e-05,8.2789227622718725e+04,8.0036014522835263e+04
branch14_seg0,7.5000000000000000e-01,6.5482275747615789e-05,6.5482275747439728e-05,8.2789227622197810e+04,8.0036014522162979e+04
branch14_seg0,1.0000000000000000e+00,6.5482275746064675e-05,6.5482275746154135e-05,8.2789227622363876e+04,8.0036014522400990e+04
branch15_seg0,0.0000000000000000e+00,6.5482275737941886e-05,6.5482275738795980e-05,8.0036014525656734e+04,7.8251855591473141e+04
branch15_seg0,2.5000000000000000e-01,6.5482275750648858e-05,6.5482275750216573e-05,8.0036014521024757e+04,7.8251855586474776e+04
branch15_seg0,5.0000000000000000e-01,6.5482275744628256e-05,6.5482275744846520e-05,8.0036014522835263e+04,7.8251855588462146e+04
branch15_seg0,7.5000000000000000e-01,6.5482275747439728e-05,6.5482275747329708e-05,8.0036014522162979e+04,7.8251855587705460e+04
branch15_seg0,1.0000000000000000e+00,6.5482275746154135e-05,6.5482275746209538e-05,8.0036014522400990e+04,7.8251855587983111e+04
branch16_seg0,0.0000000000000000e+00,6.5482275738795980e-05,6.5482275739327524e-05,7.8251855591473141e+04,7.7131064229980839e+04
branch16_seg0,2.5000000000000000e-01,6.5482275750216573e-05,6.5482275749949060e-05,7.8251855586474776e+04,7.7131064224773465e+04
branch16_seg0,5.0000000000000000e-01,6.5482275744846520e-05,6.5482275744980825e-05,7.8251855588462146e+04,7.7131064226861214e+04
branch16_seg0,7.5000000000000000e-01,6.5482275747329708e-05,6.5482275747262407e-05,7.8251855587705460e+04,7.7131064226056944e+04
branch16_seg0,1.0000000000000000e+00,6.5482275746209538e-05,6.5482275746243216e-05,7.8251855587983111e+04,7.7131064226356772e+04
